estimatedShipDate,orderNumber,hondaCode,model,year,color,msrp,dealerInvoice,orderType,orderDate,wh,statusCode,statusDescription,index,unitType,modelName
3/15/2023,12353871,257048,CRF125FBP,23,RE,3799,3643,OG,3/10/2023,90,6,INVOICED,257048-12353871-0,DIRTBIKE,CRF125F BIG WHEEL
3/15/2023,12353871,257028,CRF125FP,23,RE,3399,3291,OG,3/10/2023,90,6,INVOICED,257028-12353871-1,DIRTBIKE,CRF125F
3/16/2023,12348365,258098,SXS10M6DP,23,RE,21899,20447,OG,2/16/2023,90,6,INVOICED,258098-12348365-3,SXS UTILITY,PIONEER 1000-6 DELUXE CREW
3/16/2023,12348488,257816,SXS700M2P,23,GN,11799,11450,OG,2/16/2023,90,6,INVOICED,257816-12348488-4,SXS UTILITY,PIONEER 700
3/16/2023,12348706,258522,SXS10M5DTP,23,OR,22299,20695,OG,2/16/2023,90,6,INVOICED,258522-12348706-2,SXS UTILITY,PIONEER 1000-5 TRAIL
3/19/2023,12356138,258796,TRX520FM6R,24,GN,9399,8797,OG,3/13/2023,10,3,PENDING WAREHOUSE SCHEDULING,258796-12356138-8,ATV UTILITY,FOREMAN RUBICON 4X4 EPS
3/19/2023,12292286,256547,VT750CP,23,BL,7799,7385,OG,11/10/2022,10,3,PENDING WAREHOUSE SCHEDULING,256547-12292286-9,MOTORCYCLE,SHADOW AERO
3/19/2023,12357342,258522,SXS10M5DTP,23,OR,22299,20695,OG,3/13/2023,90,3,PENDING WAREHOUSE SCHEDULING,258522-12357342-6,SXS UTILITY,PIONEER 1000-5 TRAIL
3/19/2023,12339052,256654,CMX500A2P,23,GY,6949,6646,OG,2/15/2023,10,3,PENDING WAREHOUSE SCHEDULING,256654-12339052-5,MOTORCYCLE,REBEL 500 ABS FOP
3/19/2023,12356491,258898,TRX520FM1R,24,RE,7899,7492,OG,3/13/2023,10,3,PENDING WAREHOUSE SCHEDULING,258898-12356491-7,ATV UTILITY,FOREMAN 4X4
3/22/2023,12331108,257698,TRX420FM1P,23,RE,6999,6709,OG,2/15/2023,50,4,SCHEDULED FOR DELIVERY,257698-12331108-10,ATV UTILITY,RANCHER 4X4
3/26/2023,12312782,257168,CRF150RP,23,RE,5299,4910,OG,12/8/2022,90,2,PENDING FINANCIAL APPROVAL,257168-12312782-12,DIRTBIKE,CRF150R
3/26/2023,12312782,257168,CRF150RP,23,RE,5299,4910,OG,12/8/2022,90,2,PENDING FINANCIAL APPROVAL,257168-12312782-11,DIRTBIKE,CRF150R
3/28/2023,12335671,257214,C125AP,23,GY,3849,3687,OG,2/15/2023,50,4,SCHEDULED FOR DELIVERY,257214-12335671-13,MINIMOTO,SUPER CUB C125 ABS
3/29/2023,12335379,257543,TRX420FA6P,23,BE,9199,8623,OG,2/15/2023,90,1,ORDER ACCEPTED,257543-12335379-15,ATV UTILITY,RANCHER 4X4 AT IRS EPS
3/29/2023,12356113,257788,TRX250TM1P,23,RE,4699,4708,OG,3/13/2023,90,1,ORDER ACCEPTED,257788-12356113-14,ATV UTILITY,RECON
4/1/2023,12360363,257898,SXS700M4DP,23,RE,14899,14147,OG,3/13/2023,90,1,ORDER ACCEPTED,257898-12360363-16,SXS UTILITY,PIONEER 700-4 DELUXE
4/20/2023,12331004,257298,TRX520FA6P,23,RE,9899,9232,OG,2/15/2023,90,1,ORDER ACCEPTED,257298-12331004-17,ATV UTILITY,FOREMAN RUBICON DCT EPS
4/24/2023,12325448,257436,TRX520FM1P,23,GN,7899,7492,OG,1/31/2023,90,1,ORDER ACCEPTED,257436-12325448-18,ATV UTILITY,FOREMAN 4X4
4/24/2023,12317970,256909,XR650L2P,23,WH,6999,6689,OG,1/10/2023,90,1,ORDER ACCEPTED,256909-12317970-19,MOTORCYCLE,XR650L
4/25/2023,12342371,258511,SXS10M3PP,23,BK,17499,16519,OG,2/15/2023,90,1,ORDER ACCEPTED,258511-12342371-24,SXS UTILITY,PIONEER 1000
4/25/2023,12343415,258621,SXS10S4XSP,23,BK,22199,20683,OG,2/15/2023,90,1,ORDER ACCEPTED,258621-12343415-27,SXS SPORT,TALON 1000X-4
4/25/2023,12282398,257853,SXS700M2FP,23,BE,15399,14582,OG,10/25/2022,90,1,ORDER ACCEPTED,257853-12282398-28,SXS UTILITY,PIONEER 700 FOREST
4/25/2023,12342998,258648,SXS10S4XDSP,23,RE,24199,22423,OG,2/15/2023,90,1,ORDER ACCEPTED,258648-12342998-26,SXS SPORT,TALON 1000X-4 FOX LIVE VALVE
4/25/2023,12342092,258551,SXS10S2RDSP,23,BK,23299,21640,OG,2/15/2023,90,1,ORDER ACCEPTED,258551-12342092-25,SXS SPORT,TALON 1000R FOX LIVE VALVE
4/25/2023,12191343,255738,CMX1100LDN,22,RE,9999,9474,OG,4/11/2022,90,1,ORDER ACCEPTED,255738-12191343-20,MOTORCYCLE,REBEL 1100 DCT
4/25/2023,12335775,257323,TRX520FA7P,23,BE,10399,9667,OG,2/15/2023,90,1,ORDER ACCEPTED,257323-12335775-30,ATV UTILITY,FOREMAN RUBICON DCT EPS
4/25/2023,12335775,257323,TRX520FA7P,23,BE,10399,9667,OG,2/15/2023,90,1,ORDER ACCEPTED,257323-12335775-29,ATV UTILITY,FOREMAN RUBICON DCT EPS
4/25/2023,12334187,256627,CMX500P,23,BL,6449,6211,OG,2/15/2023,90,1,ORDER ACCEPTED,256627-12334187-22,MOTORCYCLE,REBEL 500
4/25/2023,12176320,255861,CRF1100LN,22,RE,14499,13389,OG,4/7/2022,90,1,ORDER ACCEPTED,255861-12176320-23,MOTORCYCLE,AFRICA TWIN
4/25/2023,12191343,255738,CMX1100LDN,22,RE,9999,9474,OG,4/11/2022,90,1,ORDER ACCEPTED,255738-12191343-21,MOTORCYCLE,REBEL 1100 DCT
4/27/2023,12327832,256591,CMX300P,23,BK,4749,4732,OG,2/8/2023,90,1,ORDER ACCEPTED,256591-12327832-31,MOTORCYCLE,REBEL 300
4/27/2023,12360114,259113,TRX420FM1R,24,BE,7099,6796,OG,3/13/2023,90,1,ORDER ACCEPTED,259113-12360114-33,ATV UTILITY,RANCHER 4X4
4/27/2023,12360585,257798,TRX250XP,23,MA,5299,5230,OG,3/13/2023,90,1,ORDER ACCEPTED,257798-12360585-32,ATV SPORT,FOURTRAX 250X
4/28/2023,12358458,256869,NVA110BP,23,DG,1807,1890,OG,3/13/2023,90,1,ORDER ACCEPTED,256869-12358458-35,MINIMOTO,NAVI
4/28/2023,12358458,256869,NVA110BP,23,DG,1807,1890,OG,3/13/2023,90,1,ORDER ACCEPTED,256869-12358458-34,MINIMOTO,NAVI
4/28/2023,12359315,258479,XR150LP,23,WH,2971,2914,OG,3/13/2023,90,1,ORDER ACCEPTED,258479-12359315-37,MOTORCYCLE,XR150L
4/28/2023,12359315,258471,XR150LP,23,BK,2971,2914,OG,3/13/2023,90,1,ORDER ACCEPTED,258471-12359315-36,MOTORCYCLE,XR150L
5/1/2023,12312346,256898,CRF450RLP,23,RE,9999,9299,OG,12/8/2022,90,1,ORDER ACCEPTED,256898-12312346-38,MOTORCYCLE,CRF450L
5/1/2023,12352491,258138,SXS520M2P,23,RE,9999,9584,OG,3/1/2023,90,1,ORDER ACCEPTED,258138-12352491-39,SXS UTILITY,PIONEER 520
5/25/2023,12360145,258511,SXS10M3PP,23,BK,17499,16519,OG,3/13/2023,90,1,ORDER ACCEPTED,258511-12360145-40,SXS UTILITY,PIONEER 1000
5/31/2023,12351441,256948,CRF300LRP,23,RE,6149,6011,OG,3/1/2023,90,1,ORDER ACCEPTED,256948-12351441-41,MOTORCYCLE,CRF300L RALLY